product_id,title,vendor,price,compare_at_price,tags,sizes_available,stock_per_size,is_sale,is_clearance,bestseller_score
P0001,Midnight Lace Gown,Nocturne,137,220,"evening,modest,lace,long-sleeve,fitted","2,4,6,8,10,12","5,8,12,10,7,4",false,false,82
P0002,Garden Party Midi,Belle & Rose,189,189,"daytime,modest,midi,flutter-sleeve,flowy","4,6,8,10,12","3,6,9,8,5",false,false,67
P0003,Velvet Empire Dress,Aurelia Couture,258,380,"evening,modest,long-sleeve,velvet,fitted","2,4,6,8,10","2,4,6,5,3",false,false,74
P0004,Sunrise Wrap Dress,Zephyr,95,150,"casual,wrap,3/4-sleeve,flowy","4,6,8,10,12,14","0,4,8,10,7,3",true,false,55
P0005,Coastal Linen Shift,Zephyr,72,120,"casual,modest,sleeveless,linen","6,8,10,12","6,9,11,8",true,false,48
P0006,Pearl Embroidered Gown,Aurelia Couture,420,580,"evening,modest,long-sleeve,embroidered,fitted","2,4,6,8,10,12","1,2,3,2,1,1",false,false,91
P0007,Blush Satin Ballgown,Luxe Bridal,380,540,"formal,modest,sleeveless,satin,fitted","4,6,8,10,12","2,3,5,4,2",false,false,88
P0008,Classic Crepe Sheath,Classique,309,309,"office,modest,3/4-sleeve,crepe,fitted","2,4,6,8,10,12,14,16","4,5,7,9,8,6,4,3",false,false,63
P0009,Meadow Floral Dress,Belle & Rose,145,220,"daytime,modest,modest,long-sleeve,flowy,floral","4,6,8,10,12","5,8,10,7,4",true,false,71
P0010,Ebony Sequin Gown,Nocturne,295,295,"evening,sleeveless,sequin,fitted","2,4,6,8","1,2,3,2",false,false,79
P0011,Sage Chiffon Maxi,Zephyr,168,168,"evening,modest,long-sleeve,chiffon,flowy","4,6,8,10,12,14","3,5,8,7,5,3",false,false,66
P0012,Rose Brocade Cocktail,Aurelia Couture,76,160,"cocktail,modest,3/4-sleeve,brocade,fitted","2,4,6,8,10,12,14","0,4,7,9,8,5,3",true,true,42
P0013,Teal Drape Gown,Nocturne,284,390,"evening,modest,one-shoulder,drape,flowy","4,6,8,10,12,16","4,6,8,7,5,3",false,false,77
P0014,Gold Foil Maxi,Luxe Bridal,414,560,"formal,modest,long-sleeve,foil,fitted","4,6,8,10,12","2,3,5,4,2",false,false,85
P0015,Navy Wrap Midi,Belle & Rose,298,420,"daytime,modest,3/4-sleeve,wrap,midi","2,4,6,8,10,12,14","3,5,7,10,8,6,4",false,false,72
P0016,Burgundy Lace Overlay,Classique,199,350,"evening,modest,long-sleeve,lace,fitted","4,6,8,10,12","2,4,6,5,3",true,false,69
P0017,Desert Sand Kaftan,Zephyr,109,109,"casual,modest,long-sleeve,kaftan,flowy","6,8,10,12,16","0,6,10,8,4",false,false,51
P0018,Emerald Silk Gown,Aurelia Couture,376,520,"evening,modest,sleeveless,silk,fitted","2,4,6,8,10,12,14,16","1,2,4,6,5,4,2,1",false,false,93
P0019,Ivory Broderie Dress,Belle & Rose,131,200,"daytime,modest,short-sleeve,broderie,flowy","4,6,8,10,12,14,16","0,3,6,9,7,5,3",true,false,58
P0020,Onyx Beaded Gown,Luxe Bridal,419,570,"formal,sleeveless,beaded,fitted","2,4,6,8,10","1,2,4,3,2",false,false,87
P0021,Lavender Pleated Midi,Classique,277,277,"office,modest,sleeveless,pleated,midi","4,6,8,10,12,14","4,6,8,7,5,3",false,false,65
P0022,Crimson Velvet Gown,Nocturne,437,580,"evening,modest,long-sleeve,velvet,fitted","2,4,6,8,10,12,14,16","2,3,5,7,6,4,3,2",false,false,89
P0023,Dusty Rose Chiffon,Belle & Rose,259,370,"evening,modest,flutter-sleeve,chiffon,flowy","2,4,6,8,10,12","2,4,6,8,7,5",false,false,76
P0024,Cobalt Bodycon Dress,Zephyr,275,275,"cocktail,fitted,sleeveless","2,4,6,8,10,12,14,16","3,5,7,9,8,6,4,2",false,false,61
P0025,Forest Green Maxi,Classique,266,380,"evening,modest,long-sleeve,maxi,flowy","4,6,8,10,12","3,5,7,6,4",false,false,70
P0026,Champagne Sequin Gown,Luxe Bridal,390,530,"formal,sleeveless,sequin,fitted","4,6,8,10,12,14","1,2,4,5,3,2",false,false,91
P0027,Plum Satin Slip,Nocturne,185,260,"evening,sleeveless,satin,fitted","2,4,6,8","2,4,5,3",false,false,62
P0028,White Eyelet Dress,Belle & Rose,153,230,"daytime,modest,short-sleeve,eyelet,flowy","4,6,8,10,12","4,6,8,7,5",false,false,54
P0029,Sapphire Embellished,Aurelia Couture,305,440,"evening,modest,long-sleeve,embellished,fitted","2,4,6,8,10","1,2,4,3,2",false,false,83
P0030,Copper Metallic Sheath,Classique,232,340,"cocktail,3/4-sleeve,metallic,fitted","2,4,6,8,10,12","2,4,6,5,3,2",false,false,68
P0031,Jasmine Floral Maxi,Belle & Rose,311,430,"daytime,modest,long-sleeve,floral,maxi,flowy","4,6,8,10,12,14","3,5,7,6,4,3",false,false,75
P0032,Midnight Blue Crepe,Classique,305,305,"office,modest,3/4-sleeve,crepe,fitted","2,4,6,8,10,12,14","4,6,8,7,5,4,2",false,false,64
P0033,Terracotta Boho Dress,Zephyr,266,380,"casual,modest,long-sleeve,boho,flowy","4,6,8,10,12,14,16","3,5,7,9,8,6,4",false,false,57
P0034,Lilac Organza Gown,Aurelia Couture,239,360,"evening,modest,sleeveless,organza,fitted","2,4,6,8,10,12","1,2,4,5,4,2",false,false,80
P0035,Mocha Linen Shift,Zephyr,78,140,"casual,modest,sleeveless,linen","4,6,8,10,12,16","0,4,8,9,7,3",true,true,38
P0036,Fuchsia Ruffle Gown,Nocturne,349,480,"evening,ruffle,sleeveless,fitted","2,4,6,8,10","1,3,5,4,2",false,false,84
P0037,Peach Lace Midi,Belle & Rose,178,260,"daytime,modest,long-sleeve,lace,midi","4,6,8,10,12,14","3,5,7,6,4,3",false,false,61
P0038,Silver Sequin Mini,Luxe Bridal,144,250,"cocktail,sleeveless,sequin,fitted","2,4,6,8","0,4,7,5",true,false,48
P0039,Ruby Off-Shoulder,Nocturne,430,580,"evening,off-shoulder,satin,fitted","2,4,6,8,10,12","1,2,4,5,4,2",false,false,90
P0040,Mint Floral Wrap,Zephyr,204,290,"daytime,modest,wrap,3/4-sleeve,flowy,floral","4,6,8,10,12,16","3,5,7,8,6,4",false,false,59
P0041,Slate Crepe Shift,Classique,122,200,"office,modest,sleeveless,crepe,fitted","2,4,6,8,10,12","4,6,8,9,7,5",false,false,56
P0042,Ivory Lace Ballgown,Luxe Bridal,485,640,"formal,modest,long-sleeve,lace,fitted","2,4,6,8,10,12","1,2,3,4,3,2",false,false,92
P0043,Tangerine Sundress,Belle & Rose,219,310,"daytime,sleeveless,casual,flowy","4,6,8,10,12,14","4,6,9,8,6,3",false,false,60
P0044,Smoke Velvet Midi,Nocturne,346,480,"evening,modest,long-sleeve,velvet,midi,fitted","2,4,6,8,10","2,3,5,4,3",false,false,81
P0045,Olive Linen Shift,Zephyr,183,260,"casual,modest,sleeveless,linen","4,6,8,10,12,14","3,5,7,6,4,2",false,false,50
